"Start_time","End_time","Rain_in","Int_in/15min","Int_in/hr","Flag"
2010-05-01 00:00:00,2010-05-01 06:15:00,1.16,0.28,1.12,"MODERATE"
2010-05-02 07:30:00,2010-05-02 16:45:00,1.09,0.37,1.48,"MODERATE"
2010-05-03 05:30:00,2010-05-03 18:15:00,0.23,0.07,0.28,"SMALL"
2010-05-04 17:15:00,2010-05-04 17:15:00,0.01,0.01,0.04,"VERY SMALL"
2010-05-05 12:45:00,2010-05-05 12:45:00,0.01,0.01,0.04,"VERY SMALL"
2010-05-06 05:15:00,2010-05-06 05:15:00,0.03,0.03,0.12,"VERY SMALL"
2010-05-06 12:30:00,2010-05-06 12:30:00,0.01,0.01,0.04,"VERY SMALL"
2010-05-07 04:30:00,2010-05-07 04:45:00,0.18,0.16,0.64,"SMALL"
2010-05-07 12:00:00,2010-05-07 12:00:00,0.05,0.05,0.2,"VERY SMALL"
2010-05-08 09:00:00,2010-05-08 09:00:00,0.01,0.01,0.04,"VERY SMALL"
2010-05-09 22:00:00,2010-05-10 21:00:00,0.22,0.06,0.24,"SMALL"
2010-05-11 03:15:00,2010-05-11 07:15:00,0.16,0.12,0.48,"SMALL"
2010-05-12 07:45:00,2010-05-13 04:45:00,0.54,0.09,0.36,"MODERATE"
2010-05-14 03:30:00,2010-05-14 03:30:00,0.01,0.01,0.04,"VERY SMALL"
2010-05-15 02:15:00,2010-05-15 07:45:00,0.22,0.1,0.4,"SMALL"
2010-05-15 14:00:00,2010-05-16 07:45:00,0.36,0.11,0.44,"SMALL"
2010-05-19 18:15:00,2010-05-20 12:00:00,0.92,0.13,0.52,"MODERATE"
2010-05-20 18:15:00,2010-05-20 23:00:00,0.27,0.16,0.64,"SMALL"
2010-05-21 05:15:00,2010-05-21 09:45:00,0.73,0.14,0.56,"MODERATE"
2010-05-21 23:15:00,2010-05-21 23:15:00,0.01,0.01,0.04,"VERY SMALL"
2010-05-22 13:15:00,2010-05-22 13:15:00,0.01,0.01,0.04,"VERY SMALL"
2010-05-22 23:30:00,2010-05-23 10:00:00,1.13,0.34,1.36,"MODERATE"
2010-05-23 17:15:00,2010-05-23 20:00:00,0.2,0.12,0.48,"SMALL"
2010-05-24 13:45:00,2010-05-25 12:45:00,2.3,0.38,1.52,"LARGE"
2010-05-26 01:15:00,2010-05-26 01:15:00,0.01,0.01,0.04,"VERY SMALL"
2010-05-26 07:30:00,2010-05-26 10:00:00,0.1,0.08,0.32,"SMALL"
2010-05-27 00:45:00,2010-05-27 00:45:00,0.01,0.01,0.04,"VERY SMALL"
2010-05-28 11:30:00,2010-05-28 15:30:00,0.85,0.21,0.84,"MODERATE"
2010-05-29 04:30:00,2010-05-29 04:30:00,0.04,0.04,0.16,"VERY SMALL"
2010-05-30 03:15:00,2010-05-30 09:15:00,0.47,0.17,0.68,"SMALL"
2010-05-31 05:15:00,2010-05-31 05:15:00,0.02,0.02,0.08,"VERY SMALL"
2010-06-01 05:00:00,2010-06-01 05:15:00,0.09,0.07,0.28,"VERY SMALL"
2010-06-01 12:45:00,2010-06-01 12:45:00,0.01,0.01,0.04,"VERY SMALL"
2010-06-06 11:45:00,2010-06-07 00:15:00,0.61,0.17,0.68,"MODERATE"
2010-06-08 02:30:00,2010-06-08 10:45:00,0.19,0.05,0.2,"SMALL"
2010-06-10 03:45:00,2010-06-10 05:15:00,0.23,0.13,0.52,"SMALL"
2010-06-10 14:15:00,2010-06-10 14:45:00,0.06,0.03,0.12,"VERY SMALL"
2010-06-12 09:30:00,2010-06-12 15:45:00,0.27,0.24,0.96,"SMALL"
2010-06-13 01:45:00,2010-06-13 09:15:00,0.1,0.03,0.12,"SMALL"
2010-06-13 16:00:00,2010-06-13 19:00:00,0.04,0.03,0.12,"VERY SMALL"
2010-06-14 01:30:00,2010-06-14 09:15:00,0.67,0.14,0.56,"MODERATE"
2010-06-14 17:30:00,2010-06-14 19:45:00,0.48,0.32,1.28,"SMALL"
2010-06-15 07:15:00,2010-06-15 07:15:00,0.01,0.01,0.04,"VERY SMALL"
2010-06-15 23:30:00,2010-06-15 23:30:00,0.01,0.01,0.04,"VERY SMALL"
2010-06-16 21:45:00,2010-06-16 21:45:00,0.03,0.03,0.12,"VERY SMALL"
2010-06-17 12:15:00,2010-06-18 15:30:00,2.02,0.23,0.92,"LARGE"
2010-06-19 06:15:00,2010-06-19 06:15:00,0.01,0.01,0.04,"VERY SMALL"
2010-06-19 21:15:00,2010-06-19 21:30:00,0.02,0.01,0.04,"VERY SMALL"
2010-06-20 05:15:00,2010-06-20 05:30:00,0.08,0.05,0.2,"VERY SMALL"
2010-06-22 05:30:00,2010-06-22 05:30:00,0.01,0.01,0.04,"VERY SMALL"
2010-06-22 12:45:00,2010-06-22 12:45:00,0.01,0.01,0.04,"VERY SMALL"
2010-06-23 09:15:00,2010-06-23 09:45:00,0.02,0.01,0.04,"VERY SMALL"
2010-06-23 18:15:00,2010-06-24 02:00:00,0.22,0.1,0.4,"SMALL"
2010-06-24 23:00:00,2010-06-25 10:45:00,0.92,0.17,0.68,"MODERATE"
2010-06-25 21:15:00,2010-06-26 15:00:00,1.72,0.25,1,"MODERATE"
2010-06-27 18:45:00,2010-06-28 03:00:00,0.76,0.22,0.88,"MODERATE"
2010-06-29 08:45:00,2010-06-29 13:45:00,0.89,0.15,0.6,"MODERATE"
2010-07-01 04:30:00,2010-07-01 07:45:00,0.81,0.15,0.6,"MODERATE"
2010-07-01 18:15:00,2010-07-01 22:00:00,0.17,0.07,0.28,"SMALL"
2010-07-02 04:30:00,2010-07-02 10:00:00,0.86,0.21,0.84,"MODERATE"
2010-07-02 17:00:00,2010-07-03 14:45:00,1.24,0.19,0.76,"MODERATE"
2010-07-03 21:30:00,2010-07-03 22:15:00,0.25,0.19,0.76,"SMALL"
2010-07-04 09:45:00,2010-07-04 13:15:00,0.1,0.06,0.24,"VERY SMALL"
2010-07-05 00:30:00,2010-07-06 09:45:00,1.24,0.19,0.76,"MODERATE"
2010-07-06 18:45:00,2010-07-07 09:45:00,1.24,0.18,0.72,"MODERATE"
2010-07-07 17:00:00,2010-07-07 18:00:00,0.15,0.09,0.36,"SMALL"
2010-07-08 06:00:00,2010-07-08 08:15:00,0.1,0.05,0.2,"SMALL"
2010-07-08 17:15:00,2010-07-09 11:15:00,0.55,0.24,0.96,"MODERATE"
2010-07-09 18:15:00,2010-07-09 23:30:00,0.67,0.2,0.8,"MODERATE"
2010-07-10 12:15:00,2010-07-10 14:00:00,0.03,0.02,0.08,"VERY SMALL"
2010-07-11 01:15:00,2010-07-11 02:15:00,0.02,0.01,0.04,"VERY SMALL"
2010-07-11 13:15:00,2010-07-11 13:15:00,0.01,0.01,0.04,"VERY SMALL"
2010-07-12 00:15:00,2010-07-12 05:00:00,0.17,0.14,0.56,"SMALL"
2010-07-12 22:30:00,2010-07-13 00:45:00,0.09,0.05,0.2,"VERY SMALL"
